"Rank","Root Domain","Linking Root Domains","Domain Authority"
"359","indiatimes.com","404,865","93"
"360","theverge.com","361,802","93"
"361","about.com","747,238","93"
"362","clickbank.net","466,414","93"
"363","outlook.com","281,706","93"
"364","wiley.com","539,367","93"
"365","cbc.ca","428,647","93"
"366","biglobe.ne.jp","226,682","93"
"367","bitly.com","390,696","93"
"368","nginx.com","543,244","93"
"369","google.ca","330,231","93"
"370","pbs.org","501,105","93"
"371","variety.com","248,541","93"
"372","lg.com","125,825","93"
"373","chicagotribune.com","346,036","93"
"374","googleblog.com","253,559","93"
"375","hollywoodreporter.com","252,648","93"
"376","sciencemag.org","314,693","93"
"377","target.com","267,705","93"
"378","ebay.de","122,199","92"
"379","sagepub.com","300,102","92"
"380","ads.google.com","140,686","92"
"381","cbslocal.com","320,830","92"
"382","intel.com","235,788","92"
"383","nifty.com","210,195","92"
"384","mystrikingly.com","317,699","92"
"385","eonline.com","218,374","92"
"386","foursquare.com","262,324","92"
"387","iubenda.com","205,602","92"
"388","zeit.de","159,410","92"
"389","interia.pl","151,462","92"
"390","dreniq.com","298,141","92"
"391","legifrance.gouv.fr","122,445","92"
"392","allrecipes.com","197,065","92"
"393","investopedia.com","276,231","92"
"394","prezi.com","282,894","92"
"395","sony.com","147,684","92"
"396","ovh.net","553,653","92"
"397","m.me","204,703","92"
"398","tiktok.com","263,426","92"
"399","cloud.google.com","134,448","92"
"400","stores.jp","416,997","92"
"401","coursera.org","164,291","92"
"402","columbia.edu","307,758","92"
"403","redbull.com","133,927","92"
"404","public-api.wordpress.com","191,508","92"
"405","nhk.or.jp","219,425","92"
"406","gutenberg.org","183,111","92"
"407","ed.gov","266,391","92"
"408","cam.ac.uk","219,296","92"
"409","jamanetwork.com","192,731","92"
"410","blackberry.com","140,560","92"
"411","zdnet.com","274,992","92"
"412","archives.gov","243,626","92"
"413","ehow.com","263,989","92"
"414","about.me","345,126","92"
"415","trello.com","229,365","92"
"416","focus.de","125,963","92"
"417","mailchimp.com","349,026","92"
"418","steamcommunity.com","188,769","92"
"419","debian.org","390,565","92"
"420","depositfiles.com","141,259","92"
"421","faz.net","150,203","92"
"422","adweek.com","187,410","92"
"423","people.com","225,086","92"
"424","narod.ru","271,733","92"
"425","digg.com","840,431","92"
"426","indiegogo.com","247,239","92"
"427","vkontakte.ru","359,064","92"
"428","espn.go.com","251,269","92"
"429","entrepreneur.com","263,875","92"
"430","feedburner.google.com","328,496","92"
"431","viglink.com","403,630","92"
"432","usgs.gov","217,089","92"
"433","slate.com","364,819","92"
"434","offset.com","1,129,024","92"
"435","storage.canalblog.com","293,011","92"
"436","greenpeace.org","179,602","92"
"437","example.com","259,590","92"
"438","amazon.ca","214,197","92"
"439","channel4.com","160,364","92"
"440","allaboutcookies.org","376,766","92"
"441","corriere.it","164,883","92"
"442","udemy.com","171,012","92"
"443","giphy.com","387,944","92"
"444","ndtv.com","180,613","92"
"445","bild.de","142,878","92"
"446","sakura.ne.jp","370,307","92"
"447","cafepress.com","160,932","92"
"448","ovh.co.uk","400,821","92"
"449","fifa.com","155,367","92"
"450","chron.com","225,047","92"
"451","e-recht24.de","461,554","92"
"452","unsplash.com","455,157","92"
"453","theglobeandmail.com","247,504","92"
"454","www.livejournal.com","2,997,603","92"
"455","arstechnica.com","235,834","92"
"456","bp1.blogger.com","543,340","92"
"457","venturebeat.com","205,241","92"
"458","fastcompany.com","298,841","92"
"459","histats.com","454,822","92"
"460","pcmag.com","237,937","92"
"461","000webhost.com","268,469","92"
"462","gamestop.com","131,761","92"
"463","marketwatch.com","336,736","92"
"464","ubuntu.com","214,849","92"
"465","canada.ca","230,760","92"
"466","inc.com","247,197","92"
"467","marriott.com","355,446","92"
"468","ftc.gov","241,860","92"
"469","unicef.org","163,890","92"
"470","xda-developers.com","126,475","92"
"471","sina.com.cn","1,017,324","92"
"472","qq.com","4,167,529","92"
"473","dribbble.com","527,282","92"
"474","pinterest.co.uk","199,574","92"
"475","newscientist.com","215,537","92"
"476","tes.com","408,707","92"
"477","tabelog.com","144,583","92"
"478","searchenginejournal.com","271,389","92"
"479","utexas.edu","253,995","92"
"480","axs.com","250,269","92"
"481","dreamstime.com","245,731","92"
"482","epa.gov","325,324","92"
"483","xing.com","444,484","92"
"484","bund.de","500,802","92"
"485","ucla.edu","253,834","92"
"486","groups.yahoo.com","312,202","92"
"487","worldbank.org","240,487","92"
"488","e-monsite.com","141,952","92"
"489","fortune.com","244,658","92"
"490","cointernet.com.co","474,328","92"
"491","plos.org","263,172","92"
"492","mixcloud.com","204,861","92"
"493","irs.gov","276,365","92"
"494","behance.net","785,612","92"
"495","bp0.blogger.com","543,399","92"
"496","calendar.google.com","167,831","92"
"497","state.gov","300,327","92"
"498","thenextweb.com","180,824","92"
"499","jstor.org","202,561","92"
"500","orkut.com.br","129,468","92"
